experiment_name,model_key,training_mode,error_type,text,true_label,predicted_label,confidence_score,label,fold,source_index
decision-tree,decision-tree,baseline,false_negative,ບັງຄັບໃຫ້ໃຊ້ ແຕ່ເຮັດຈັງໃດສີລົງທະບຽນ? ຕອນນີ້ລົງທະບຽນໄດ້ແລ້ວ ຂອບໃຈ,1,0,0.899263,1,,
decision-tree,decision-tree,baseline,false_negative,ສໍາລັບໃຜເຂົ້າຫນ້າແອັບບໍ່ໄດ້ແມ່ນລົບແອັບແລ້ວດາວໂຫລດໃຫມ່ ເຂົ້າສູ່ລະບົບໃຫມ່,1,0,0.985002,1,,
decision-tree,decision-tree,baseline,false_negative,ມັນເປັນຫຍັງຄືມາປ່ຽນຫນ້າເຟດກັນ ຜີ່ບ້າບໍ,1,0,0.787977,1,,
decision-tree,decision-tree,baseline,false_negative,ໃຫ້ປັບແນມຸນໄດ້ເນັດແຕ່ແບງບໍໄດ້ ຄັນແບງໄດ້ຄືສີດີ,1,0,0.955309,1,,
decision-tree,decision-tree,baseline,false_positive,ດາວໂຫຍ,0,1,0.888685,0,,
decision-tree,decision-tree,baseline,false_positive,ຫົງ,0,1,0.888685,0,,
decision-tree,decision-tree,baseline,false_positive,ປ່ຽນໂທລະສັບໃຫມ່,0,1,0.888685,0,,
decision-tree,decision-tree,baseline,false_positive,ລອງຈອງເບີ່ງກ່ອນເດີຮາ,0,1,0.888685,0,,
decision-tree,decision-tree,baseline,false_positive,ບໍ ok,0,1,0.888685,0,,
decision-tree,decision-tree,baseline,false_positive,ອານຸມັດໃຫ້ແດ່ເບີກະໃສ່ແລ້ວ,0,1,0.888685,0,,
decision-tree,decision-tree,baseline,false_positive,ເປໄຖັ,0,1,0.888685,0,,
decision-tree,decision-tree,baseline,false_positive,ເບີລະຫັດwhatsapp,0,1,0.888685,0,,
logistic-regression,logistic-regression,baseline,false_negative,ບັງຄັບໃຫ້ໃຊ້ ແຕ່ເຮັດຈັງໃດສີລົງທະບຽນ? ຕອນນີ້ລົງທະບຽນໄດ້ແລ້ວ ຂອບໃຈ,1,0,0.682548,1,,
logistic-regression,logistic-regression,baseline,false_negative,ສໍາລັບໃຜເຂົ້າຫນ້າແອັບບໍ່ໄດ້ແມ່ນລົບແອັບແລ້ວດາວໂຫລດໃຫມ່ ເຂົ້າສູ່ລະບົບໃຫມ່,1,0,0.966919,1,,
logistic-regression,logistic-regression,baseline,false_negative,ມັນເປັນຫຍັງຄືມາປ່ຽນຫນ້າເຟດກັນ ຜີ່ບ້າບໍ,1,0,0.801614,1,,
logistic-regression,logistic-regression,baseline,false_negative,ໃຫ້ປັບແນມຸນໄດ້ເນັດແຕ່ແບງບໍໄດ້ ຄັນແບງໄດ້ຄືສີດີ,1,0,0.803238,1,,
logistic-regression,logistic-regression,baseline,false_positive,ດາວໂຫຍ,0,1,0.635637,0,,
logistic-regression,logistic-regression,baseline,false_positive,ຫົງ,0,1,0.863206,0,,
logistic-regression,logistic-regression,baseline,false_positive,ປ່ຽນໂທລະສັບໃຫມ່,0,1,0.568138,0,,
logistic-regression,logistic-regression,baseline,false_positive,ລອງຈອງເບີ່ງກ່ອນເດີຮາ,0,1,0.739524,0,,
logistic-regression,logistic-regression,baseline,false_positive,ບໍ ok,0,1,0.846583,0,,
logistic-regression,logistic-regression,baseline,false_positive,ອານຸມັດໃຫ້ແດ່ເບີກະໃສ່ແລ້ວ,0,1,0.555997,0,,
logistic-regression,logistic-regression,baseline,false_positive,ເປໄຖັ,0,1,0.837514,0,,
logistic-regression,logistic-regression,baseline,false_positive,ເບີລະຫັດwhatsapp,0,1,0.721752,0,,
mbert-finetuning,mbert,full-finetuning,false_negative,ບັງຄັບໃຫ້ໃຊ້ ແຕ່ເຮັດຈັງໃດສີລົງທະບຽນ? ຕອນນີ້ລົງທະບຽນໄດ້ແລ້ວ ຂອບໃຈ,1,0,0.75192153,1,,
mbert-finetuning,mbert,full-finetuning,false_negative,ສໍາລັບໃຜເຂົ້າຫນ້າແອັບບໍ່ໄດ້ແມ່ນລົບແອັບແລ້ວດາວໂຫລດໃຫມ່ ເຂົ້າສູ່ລະບົບໃຫມ່,1,0,0.70089483,1,,
mbert-finetuning,mbert,full-finetuning,false_negative,ມັນເປັນຫຍັງຄືມາປ່ຽນຫນ້າເຟດກັນ ຜີ່ບ້າບໍ,1,0,0.70089483,1,,
mbert-finetuning,mbert,full-finetuning,false_negative,ໃຫ້ປັບແນມຸນໄດ້ເນັດແຕ່ແບງບໍໄດ້ ຄັນແບງໄດ້ຄືສີດີ,1,0,0.70089483,1,,
mbert-finetuning,mbert,full-finetuning,false_positive,ດາວໂຫຍ,0,1,0.5469045,0,,
mbert-finetuning,mbert,full-finetuning,false_positive,ຫົງ,0,1,0.5469045,0,,
mbert-finetuning,mbert,full-finetuning,false_positive,ປ່ຽນໂທລະສັບໃຫມ່,0,1,0.5469045,0,,
mbert-finetuning,mbert,full-finetuning,false_positive,ລອງຈອງເບີ່ງກ່ອນເດີຮາ,0,1,0.5469045,0,,
mbert-finetuning,mbert,full-finetuning,false_positive,ບໍ ok,0,1,0.55647486,0,,
mbert-finetuning,mbert,full-finetuning,false_positive,ອານຸມັດໃຫ້ແດ່ເບີກະໃສ່ແລ້ວ,0,1,0.5469045,0,,
mbert-finetuning,mbert,full-finetuning,false_positive,ເປໄຖັ,0,1,0.5469045,0,,
mbert-finetuning,mbert,full-finetuning,false_positive,ເບີລະຫັດwhatsapp,0,1,0.5469045,0,,
