error_type,rank,token,count
false_positive,1,ດາວໂຫຍ,9
false_positive,2,ຫົງ,9
false_positive,3,ປ່ຽນໂທລະສັບໃຫມ່,9
false_positive,4,ລອງຈອງເບີ່ງກ່ອນເດີຮາ,9
false_positive,5,ບໍ,9
false_positive,6,ok,9
false_positive,7,ອານຸມັດໃຫ້ແດ່ເບີກະໃສ່ແລ້ວ,9
false_positive,8,ເປໄຖັ,9
false_positive,9,ເບີລະຫັດwhatsapp,9
false_negative,1,ບັງຄັບໃຫ້ໃຊ້,9
false_negative,2,ແຕ່ເຮັດຈັງໃດສີລົງທະບຽນ,9
false_negative,3,ຕອນນີ້ລົງທະບຽນໄດ້ແລ້ວ,9
false_negative,4,ຂອບໃຈ,9
false_negative,5,ສໍາລັບໃຜເຂົ້າຫນ້າແອັບບໍ່ໄດ້ແມ່ນລົບແອັບແລ້ວດາວໂຫລດໃຫມ່,9
false_negative,6,ເຂົ້າສູ່ລະບົບໃຫມ່,9
false_negative,7,ມັນເປັນຫຍັງຄືມາປ່ຽນຫນ້າເຟດກັນ,9
false_negative,8,ຜີ່ບ້າບໍ,9
false_negative,9,ໃຫ້ປັບແນມຸນໄດ້ເນັດແຕ່ແບງບໍໄດ້,9
false_negative,10,ຄັນແບງໄດ້ຄືສີດີ,9
