experiment_name,model_key,training_mode,error_type,text,true_label,predicted_label,confidence_score,label,fold,source_index
decision-tree,decision-tree,baseline,false_negative,ຂໍໃຫ້ເປັນເຫມືອນເກົ່າ,1,0,0.741557,1,,
decision-tree,decision-tree,baseline,false_negative,ສະບາຍດີ ການໃຊບໍ່ຕ້ອງກໍານົດເວລາ,1,0,0.874798,1,,
decision-tree,decision-tree,baseline,false_negative,ຕີດຕາມແນ່ເດີເຟືອນໆທີຮັກຫມົດທຸກຄົນ,1,0,0.572924,1,,
decision-tree,decision-tree,baseline,false_negative,ຂ້ອຍຕິດຕັ້ງບໍ່ໃດ້,1,0,0.951633,1,,
decision-tree,decision-tree,baseline,false_negative,ຜ່ານມາເຄີຍຂັບລົດແອບໂລກ່າຖືກໃຈມັກຢາກໄປຂັບອີກ,1,0,0.686142,1,,
decision-tree,decision-tree,baseline,false_negative,ດີຂາດບ່ໄດ້ເລີຍ,1,0,1.0,1,,
decision-tree,decision-tree,baseline,false_negative,ດີໆ ຫລີ່ນແບບ ບໍ່ເສີຍເງິນ,1,0,0.874798,1,,
decision-tree,decision-tree,baseline,false_negative,ດີແລ້ວແຕ່ປັບປຸງຄວາມຊ້າແນ່,1,0,1.0,1,,
decision-tree,decision-tree,baseline,false_negative,ບັງຄັບໃຫ້ໃຊ້ ແຕ່ເຮັດຈັງໃດສີລົງທະບຽນ? ຕອນນີ້ລົງທະບຽນໄດ້ແລ້ວ ຂອບໃຈ,1,0,0.899263,1,,
decision-tree,decision-tree,baseline,false_negative,ບໍໄດ້,1,0,0.522234,1,,
decision-tree,decision-tree,baseline,false_negative,ຢາກລົງທະບງນລາວແອັບ,1,0,0.899263,1,,
decision-tree,decision-tree,baseline,false_negative,ຊ່ວຍປັບປຸງແນ່ເດີ,1,0,0.987453,1,,
decision-tree,decision-tree,baseline,false_negative,ຢາກໃຫ້ແອັບນີ້ພັດທະນາໄປເລື້ອຍໆ ສາມາດໂອນເຂົ້າ ອອກ ໃຫ້ໄດ້ຫຼາຍທະນາຄານ ເຮັດທຸລະກໍາໃຊ້ງ່າຍຈ່າຍສະດວກກວ່າເດີມ,1,0,0.686142,1,,
decision-tree,decision-tree,baseline,false_negative,ລອງເຂົ້າໃຊ້,1,0,0.904519,1,,
