text,label
ອ້າຍບ່າວ,1
ແອັບດີແທ້,1
ຂາດບໍ່ໄດ້ ຢາກໄດ້ເພງໃສ່ໃນສະຕໍລີ້,1
ໃຫ້ເຕັມ100,1
ຖືກໃຈແຮງ,1
ແອັບນີເປັນແອັບຫມື້ງທີມີຄວາມນີຍົມແລະຄົນໃຊຫຼາຍແລະຂອ້ຍກໍ່ມັກ,1
ກະໂພດດອກໂຫຼດແອບອອກໄປຫຼີ້ນເກມຖ້າກັບມາຍັງຫມຸນຢູ່.ຄວນແກ້ໄຂໄດ້ແລ້ວ,0
ປາຍແບນບັນຊີກູມີເງິນ10ລ້ານຖືກອາຍັດຫນ້າຕາເສີຍຫົວໂຄຍ,0
ໂພີຮ,1
ໃຊ້ດີໃຊງາຍ,1
ພັດທະນາຕໍ່ໄປເດີ,1
ພໍໃຊ້,1
ເລັນແລ້ວດີຕໍ່ໃຈ,1
ສະດວກສະບາຍຫຼາຍ,1
ເຫນາະສົມໃຜບໍມີດີແທ້.,1
ໃຊ້ງ່າຍຫລາຍ ສະແກນຈ່າຍແບບບໍ່ຫຍຸ້ງຍາກ,1
ໂຫລດໄຫ້ວ່ອງໄວ,1
ຫ້າດາວໄປເລຍ,1
ຮຽນຮູ້ຫຼ້າຍຢ່າວ,1
ເຂົ້າໄປຍາກສຸດ,0
ຢາກໄດແນັດ,1
ອັບເດດຕະຫຼອດຕານ່າຍເດ້,0
ອັບເດດແມ່ມຶງຫຍັງດຸບໍ່ດຸ,0
ດໍາກ່ເດະນ່ກ້ນແດ,1
ເປັນລວມ ວໃມວຂໍບລໍຝ5.,1
ບໍ່ໄດ້ຫຼິ້ນ,0
ບ່ອນລົງທະບຽນຊິມເປັນບ່ອນຖາມອາການເພື່ອ ຄົນສິລົງທະບຽນກະລົງບໍ່ໄດ້ ປືກເອີຍເຊີນປັບປຸງແນ່,0
ຕີດຕັງແອບນີ,1
ຄໍຄ,1
ນະຕ້າ,1
ແອັບໂຄດກາກໂຄດເຮຍໂຄດເນົາມາຢູໃນແອັບນີຫມົດແກ້ໄຂ້ຂໍ້ມູນຕັ້ງຄ່າຫຍັງກາບໍ່ໄດ້ ປານນັ້ນໂຄສະນາເກັ່ງ,0
ກິຍກ ວາວາຍຍ,1
ສຸດຄຮັບ,1
ດີເຈ,1
ສັ່ງເປັນ ຊຸໂມງເຄີ່ງຮ້ານຫ່າງຈາກບ້ານປະມານ500ເມັດ ຍັງບໍ່ໄດ້ ລຸກຄ້າໄດ້ໄປຮັບອໍເດີ້ເອງ ແນະນໍາສັ່ງ gotaddy ດີກວ່າເດີ້,0
ມຶ່ງເປີດໂປຮແກຮໄປເພຶອຫຍັງກູເຂົາໂລດຄຶບໍ່ໄດຕໍ່ໄປຢາມາສົງຂໍ່ຄວາມອີກ,0
ຂໍອາລຸຍາດ,1
ໃຊ້ເລກໂຕນີ້ເດີ້ທຸກຄົນ98660402,1
ໃຫ້ຄວາມສະດວກສະບາຍແລະພຶງພໍໃຈກັບລູກຄ້າທີ່ໃຊ້ແອັບນີ້ຫລາຍ,1
ດີໃຈລາຍ ຂອບໃຈທ່ານຜູ້ສ້າງ,1
ເຂົ້າບໍ່ໄດ້ຈັກເທື່ອ ເດັ້ງອອກຕະຫຼອດ,0
ໃດ້,1
ສະດວກສະບາຍ ໃຫ້ຊີວິດດີຂື້ນ ທັນສະໄຫມ,1
ຕອນເຂົ້າໄປໃນແອັບແລ້ວໂຫຼດນານມາກ,0
ຫ່າຂົ້ວມັນນິ ເກມຂີ້ກາກ ຄັນບໍ່ຢາກໃຫ້ລູກຄ້າໄດ້ກະລົບອອກສະເດີ້,0
ເອົາອອກຊ່ອງເຕະບານເຮັດຫຍັງ,0
ໃຊ້ໄດ້ໄວກ່ວາເດີມ,1
ໃຊ້ດີຫລາຍໃຫ້ເລີຍ10ເຕັມ10,1
