error_type,text,n_experiments,occurrences,char_len,true_label,predicted_label,rank,length_limit_used
false_negative,ກູໂສດກູ ບໍ່ເຂົ້າໃຈ,9,9,18,1,0,1,18
false_negative,ໂທບໍ່ໃດ້,8,8,8,1,0,2,18
false_negative,ອັນບໍ່ໄດ້,8,8,9,1,0,3,18
false_negative,ອັບເດດຢາກ,8,8,9,1,0,4,18
false_negative,ອັບເດດບໍໄດັ,8,8,11,1,0,5,18
false_negative,ຄືບໍ່ຂຶ້ນອອນ,8,8,12,1,0,6,18
false_negative,ບໍ່ມີຫຍັງເລີຍ,8,8,13,1,0,7,18
false_negative,ບັກທືກຄືບໍ່ໃດ້,8,8,14,1,0,8,18
false_negative,ມັນບໍ່ເດັ້ງເຕືອນ,8,8,16,1,0,9,18
false_negative,ມັນບໍ່ມີບ່ອນຄົ້ນຫາ,8,8,18,1,0,10,18
false_negative,ເປັນຫຍັງຕ້ອງອັບເດດ,8,8,18,1,0,11,18
false_negative,ໂທບໍ່ໄດ,7,7,7,1,0,12,18
false_negative,ຕ້ອງອັບເດດ,7,7,10,1,0,13,18
false_negative,ໃຫ້ອັບເດດແດ່,7,7,12,1,0,14,18
false_negative,ເອິ້ນຍາກແຕ່ໄວ,7,7,13,1,0,15,18
false_negative,ຈົນເມືອຍອັບເດດ,7,7,14,1,0,16,18
false_negative,ບໍ່ມີເງິນຝາກ555,7,7,15,1,0,17,18
false_negative,ມັນບໍ່ມີອັນແທັກ,7,7,15,1,0,18,18
false_negative,ສວນນີ້ບໍ່ມີເງິນ,7,7,15,1,0,19,18
false_negative,ເປັນຍັງຕັ້ນບໍໄດ້,7,7,16,1,0,20,18
false_negative,ຂ້ອຍຕິດຕັ້ງບໍ່ໃດ້,7,7,17,1,0,21,18
false_negative,ບໍໄດ້,6,6,5,1,0,22,18
false_negative,ນິດຊ້າ,6,6,6,1,0,23,18
false_negative,ບໍ່ປານໄດ,6,6,8,1,0,24,18
false_negative,ຕິດຕັງແອບບໍໄດ,6,6,13,1,0,25,18
false_negative,ບໍ່ແຄແຟນເກົ່າ,6,6,13,1,0,26,18
false_negative,ມັກເດັ້ງ ຄ້າງ,6,6,13,1,0,27,18
false_negative,ເອົາ4ດາວໄປກ່ອນ,6,6,14,1,0,28,18
false_negative,ຍັງບໍ່ເກັງເທື່ອ,6,6,15,1,0,29,18
false_negative,ສາມແຍກບ່ອນເກົ່າ,6,6,15,1,0,30,18
